Session,Type,Title,Speaker,Institute,Country,Abstract,Raw_Speaker_Data
Closing session,other,Triangular flow of inclusive charged and identified particles at RHIC,"Sun, Xu",Lawrence Berkeley National Laboratory,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xu', 'last_name': 'Sun', 'fullName': 'Sun, Xu', 'id': '1728397', 'affiliation': 'Lawrence Berkeley National Laboratory', 'emailHash': '8b22481d0424d22090969d2cd975a49d', 'db_id': 1728397, 'person_id': 1867654}"
Plenary,plenary,Physics prospects at RHIC and plans for an eA collider,"Ullrich, Thomas",Yale University (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Thomas', 'last_name': 'Ullrich', 'fullName': 'Ullrich, Thomas', 'id': '1728428', 'affiliation': 'Yale University (US)', 'emailHash': '5d9ff62fb505abd0b3bda96af578901f', 'db_id': 1728428, 'person_id': 1867684}"
Plenary,plenary,Neutron star equation of state through current and future observations,"Watts, Anna",University of Amsterdam,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anna', 'last_name': 'Watts', 'fullName': 'Watts, Anna', 'id': '1728429', 'affiliation': '', 'emailHash': 'ff7e6544667453c1c77771b04a30bda7', 'db_id': 1728429, 'person_id': 1867685}"
,unknown,Conference Dinner,Unknown,Unknown,Unknown,,
Closing session,other,Two-gluon correlations in heavy-light ion collisions,"Wertepny, Douglas",The Ohio State University,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Douglas', 'last_name': 'Wertepny', 'fullName': 'Wertepny, Douglas', 'id': '1728430', 'affiliation': 'The Ohio State University', 'emailHash': 'bc89776d9b2251a6247c88a73ec46fa4', 'db_id': 1728430, 'person_id': 1867522}"
Closing session,other,Performance and study of B meson spectra in pp and pPb collisions in CMS,"Innocenti, Gian Michele",Massachusetts Inst. of Technology (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gian Michele', 'last_name': 'Innocenti', 'fullName': 'Innocenti, Gian Michele', 'id': '1728436', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '9e1f87bbd9a9e4b049d6e7b6d67494a4', 'db_id': 1728436, 'person_id': 1867690}"
Closing session,other,Systematic studies of the centrality dependence of soft photon production in Au+Au collisions with PHENIX,"Bannier, Benjamin",Unknown,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Benjamin', 'last_name': 'Bannier', 'fullName': 'Bannier, Benjamin', 'id': '1728437', 'affiliation': '', 'emailHash': '621b61c5445afea7639b4cf6bb7c455a', 'db_id': 1728437, 'person_id': 1867691}"
Recent developments,unknown,Bulk properties and hydrodynamics: Recent developments,"Petersen, Hannah",Unknown,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hannah', 'last_name': 'Petersen', 'fullName': 'Petersen, Hannah', 'id': '1728650', 'affiliation': '', 'emailHash': 'cb5c7969e3d0b77c40edcb1eed436e95', 'db_id': 1728650, 'person_id': 1867850}"
,unknown,Discussions and Decisions,Unknown,Unknown,Unknown,,
,unknown,Proposals for XXVI QM - USA 2,Unknown,Unknown,Unknown,,
,unknown,Departure of buses to Darmstadt city center,Unknown,Unknown,Unknown,,
Closing session,other,2014 Zimanyi Nuclear Theory Medal,Unknown,Unknown,Unknown,,
Closing session,other,Elsevier Young Scientist Awards,Unknown,Unknown,Unknown,,
,unknown,Proposals for XXVI QM - Poland,Unknown,Unknown,Unknown,,
Recent developments,unknown,Heavy flavor: Recent developments,"Scomparin, Enrico",Universita e INFN (IT),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Enrico', 'last_name': 'Scomparin', 'fullName': 'Scomparin, Enrico', 'id': '1729072', 'affiliation': 'Universita e INFN (IT)', 'emailHash': '34be8e208a702917fc6bf97542230aa5', 'db_id': 1729072, 'person_id': 1868159}"
Recent developments,unknown,Electromagnetic probes: Recent developments,"Reygers, Klaus Johannes",Ruprecht-Karls-Universitaet Heidelberg (DE),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Klaus Johannes', 'last_name': 'Reygers', 'fullName': 'Reygers, Klaus Johannes', 'id': '1729118', 'affiliation': 'Ruprecht-Karls-Universitaet Heidelberg (DE)', 'emailHash': 'de4ed094028029bf19e5ece83511fb26', 'db_id': 1729118, 'person_id': 1868194}"
,unknown,XXV QM - 2015,"Hamagaki, Hideki",University of Tokyo (JP),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hideki', 'last_name': 'Hamagaki', 'fullName': 'Hamagaki, Hideki', 'id': '1729202', 'affiliation': 'University of Tokyo (JP)', 'emailHash': '9015d6fbec7f2afc8916f12dc9839b18', 'db_id': 1729202, 'person_id': 1868243}"
,unknown,Proposals for XXVI QM - Italy,Unknown,Unknown,Unknown,,
,unknown,Bus departure to conference dinner site,Unknown,Unknown,Unknown,,
Closing session,other,Quark Matter 2015,"Hamagaki, Hideki",Unknown,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hideki', 'last_name': 'Hamagaki', 'fullName': 'Hamagaki, Hideki', 'id': '1729205', 'affiliation': '', 'emailHash': '9015d6fbec7f2afc8916f12dc9839b18', 'db_id': 1729205, 'person_id': 1868243}"
,unknown,excursion + football,Unknown,Unknown,Unknown,,
,unknown,"Number, Plots, and Statistics","Thaeder, Jochen",Technische Universitaet Darmstadt (DE),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jochen', 'last_name': 'Thaeder', 'fullName': 'Thaeder, Jochen', 'id': '1729201', 'affiliation': 'Technische Universitaet Darmstadt (DE)', 'emailHash': '8a1487d6c9003065a1332506507952f5', 'db_id': 1729201, 'person_id': 1868241}"
,unknown,Information on QM 2014,"Stachel, Johanna",Ruprecht-Karls-Universitaet Heidelberg (DE),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Johanna', 'last_name': 'Stachel', 'fullName': 'Stachel, Johanna', 'id': '1729206', 'affiliation': 'Ruprecht-Karls-Universitaet Heidelberg (DE)', 'emailHash': '764e82fd913e9ebea61d374e402c4d7f', 'db_id': 1729206, 'person_id': 1867421}"
,unknown,Proposals for XXVI QM - Spain,Unknown,Unknown,Unknown,,
,unknown,Proposals for XXVI QM - USA 1,Unknown,Unknown,Unknown,,
Plenary,plenary,Theoretical developments in thermal field theory,"Sasaki, Chihiro",FIAS & Uni of Wroclaw,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Chihiro', 'last_name': 'Sasaki', 'fullName': 'Sasaki, Chihiro', 'id': '1729263', 'affiliation': '', 'emailHash': 'ef99b6e38316080ee41533f0cb5c12d9', 'db_id': 1729263, 'person_id': 1868280}"
Plenary,plenary,AdS CFT for the early stages of heavy ion collisions,"Janik, Romuald",Jagiellonian University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Romuald', 'last_name': 'Janik', 'fullName': 'Janik, Romuald', 'id': '1729264', 'affiliation': '', 'emailHash': 'b2a886c94863b5e4ee49eca28eb85391', 'db_id': 1729264, 'person_id': 1867775}"
Plenary,plenary,Phenomenology of photon and di-lepton production in relativistic nuclear collisions,"Bratkovskaya, Elena",FIAS,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Elena', 'last_name': 'Bratkovskaya', 'fullName': 'Bratkovskaya, Elena', 'id': '1729265', 'affiliation': 'FIAS', 'emailHash': '0c1fb2bece75f36ec743388eca2635d6', 'db_id': 1729265, 'person_id': 1867840}"
Plenary,plenary,Low and intermediate mass di-lepton production in high energy nuclear collisions,"Ruan, Lijuan",Brookhaven National Laboratory,United States,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Lijuan', 'last_name': 'Ruan', 'fullName': 'Ruan, Lijuan', 'id': '1729266', 'affiliation': '', 'emailHash': '666f23b9ac920f729cc11ac3e10c7024', 'db_id': 1729266, 'person_id': 1868281}"
Plenary,plenary,Correlations and fluctuations in high energy nuclear collisions,"Jia, Jiangyong",State University of New York (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jiangyong', 'last_name': 'Jia', 'fullName': 'Jia, Jiangyong', 'id': '1729267', 'affiliation': 'State University of New York (US)', 'emailHash': '3d951a186ae4e1d5ce26f3dd3683cd17', 'db_id': 1729267, 'person_id': 1867463}"
Plenary,plenary,Theoretical aspects of photon production in high energy nuclear collisions,"Ghiglieri, Jacopo",Technische Universitaet Muenchen,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jacopo', 'last_name': 'Ghiglieri', 'fullName': 'Ghiglieri, Jacopo', 'id': '1729268', 'affiliation': 'Technische Universitaet Muenchen', 'emailHash': 'ccc27be5bb7586c816ac923563cdaf85', 'db_id': 1729268, 'person_id': 1868282}"
Plenary,plenary,Joint EPJ A and EPJ C lecture: The physics program of FAIR,"Chattopadhyay, Subhasis",Department of Atomic Energy (IN),India,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Subhasis', 'last_name': 'Chattopadhyay', 'fullName': 'Chattopadhyay, Subhasis', 'id': '1729269', 'affiliation': 'Department of Atomic Energy (IN)', 'emailHash': '78a7a96a5484ed34f87e92b79de3954d', 'db_id': 1729269, 'person_id': 1868283}"
Plenary,plenary,Collective dynamics in relativistic nuclear collisions,"Niemi, Harri",University of Jyväskylä,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Harri', 'last_name': 'Niemi', 'fullName': 'Niemi, Harri', 'id': '1729270', 'affiliation': 'University of Jyväskylä', 'emailHash': '37027143c5efa41d188ba3fdcd297830', 'db_id': 1729270, 'person_id': 1867625}"
Plenary,plenary,New theoretical developments for the physics of strongly coupled systems,"Wiese, Uwe-Jens",Universität Bern,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Uwe-Jens', 'last_name': 'Wiese', 'fullName': 'Wiese, Uwe-Jens', 'id': '1729275', 'affiliation': 'Universität Bern', 'emailHash': '1253bd167b0cf113e4c28ce88cb06d84', 'db_id': 1729275, 'person_id': 1868286}"
Observables and concepts,unknown,Heavy flavor: Observables and concepts,"Schweda, Kai",Physikalisches Institut - Ruprecht-Karls-Universitat Heidelberg,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kai', 'last_name': 'Schweda', 'fullName': 'Schweda, Kai', 'id': '1729391', 'affiliation': 'Physikalisches Institut - Ruprecht-Karls-Universitat Heidelberg', 'emailHash': 'f54dd68addf385356ce7ae10d73ac48a', 'db_id': 1729391, 'person_id': 1868349}"
Observables and concepts,unknown,Jets and high-pt probes: Observables and concepts,"Renk, Thorsten",University of Jyväskylä,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Thorsten', 'last_name': 'Renk', 'fullName': 'Renk, Thorsten', 'id': '1729407', 'affiliation': 'University of Jyväskylä', 'emailHash': '8630df57e574e58d6aa3c8ac319b3b22', 'db_id': 1729407, 'person_id': 1867587}"
Recent developments,unknown,Jets and high-pt probes: Recent developments,"Van Leeuwen, Marco",University of Utrecht (NL),Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marco', 'last_name': 'Van Leeuwen', 'fullName': 'Van Leeuwen, Marco', 'id': '1729408', 'affiliation': 'University of Utrecht (NL)', 'emailHash': '2f5f24a8eeba9e37051f76cef20e7e14', 'db_id': 1729408, 'person_id': 1868355}"
Observables and concepts,unknown,"Phase diagram, fluctuations, thermodynamics, and hadron chemistry: Observables and concepts","Ratti, Claudia",Wuppertal University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Claudia', 'last_name': 'Ratti', 'fullName': 'Ratti, Claudia', 'id': '1729409', 'affiliation': 'Wuppertal University', 'emailHash': '4109bf2713f9942e8b3492cfa0c4190f', 'db_id': 1729409, 'person_id': 1868356}"
Recent developments,unknown,"Phase diagram, fluctuations, thermodynamics, and hadron chemistry: Recent developments","Kalweit, Alexander Philipp",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander Philipp', 'last_name': 'Kalweit', 'fullName': 'Kalweit, Alexander Philipp', 'id': '1729410', 'affiliation': 'CERN', 'emailHash': '518b17135468f53a731f0f278195fa14', 'db_id': 1729410, 'person_id': 1868357}"
Observables and concepts,unknown,"pA, initial state, approach to equilibrium: Observables and concepts",Unknown,Unknown,Unknown,,
Recent developments,unknown,"pA, initial state, approach to equilibrium: Recent developments","Loizides, Constantinos",Lawrence Berkeley National Lab. (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Constantinos', 'last_name': 'Loizides', 'fullName': 'Loizides, Constantinos', 'id': '1729412', 'affiliation': 'Lawrence Berkeley National Lab. (US)', 'emailHash': '5ebd6c525326aaf0fe6488cfaff0371e', 'db_id': 1729412, 'person_id': 1868358}"
Observables and concepts,unknown,Electromagnetic probes: Observables and concepts,"van Hees, Hendrik",Goethe University Frankfurt,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hendrik', 'last_name': 'van Hees', 'fullName': 'van Hees, Hendrik', 'id': '1729413', 'affiliation': 'Goethe University Frankfurt', 'emailHash': 'a0462a3d652f6ccd0567d4527e39ad08', 'db_id': 1729413, 'person_id': 1867473}"
Opening session,other,"Welcome by Prof. H. Stöcker, Scientific Director GSI",Unknown,Unknown,Unknown,,
Opening session,other,"Welcome by Prof. B. Eitel, Rector, Heidelberg University",Unknown,Unknown,Unknown,,
,unknown,IAC Meeting QM 2014,Unknown,Unknown,Unknown,,
Opening session,other,"Welcome by Prof. B. Sharkov, Scientific Director FAIR",Unknown,Unknown,Unknown,,
Opening session,other,"Welcome by Dr. B. Vierkorn-Rudolph, Federal Ministry of Education and Research",Unknown,Unknown,Unknown,,
,other,"Welcome by B. Rhein, Minister for Higher Education, Research and the Arts, state of Hessen",Unknown,Unknown,Unknown,,
Opening session,other,"Welcome by Prof. H. J. Prömel, President of TU Darmstadt",Unknown,Unknown,Unknown,,
Opening session,other,"Welcome by J. Partsch, Mayor of Darmstadt",Unknown,Unknown,Unknown,,
Public evening lecture,unknown,Quantum Beauty,"Frank, Wilczek",MIT,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wilczek', 'last_name': 'Frank', 'fullName': 'Frank, Wilczek', 'id': '1729608', 'affiliation': 'MIT', 'emailHash': '1cfa78fecec85be2e9a7ce74f1827d14', 'db_id': 1729608, 'person_id': 1868463}"
Opening session,other,Quarks (and Glue) at Frontiers of Knowledge,"Wilczek, Frank",MIT,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Frank', 'last_name': 'Wilczek', 'fullName': 'Wilczek, Frank', 'id': '1729609', 'affiliation': 'MIT', 'emailHash': '1cfa78fecec85be2e9a7ce74f1827d14', 'db_id': 1729609, 'person_id': 1868463}"
,unknown,To be filled,Unknown,Unknown,Unknown,,
Closing session,other,Relaxation-time approximation and relativistic viscous hydrodynamics from kinetic theory,"Jaiswal, Amaresh","Tata Institute of Fundamental research, Mumbai",Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Amaresh', 'last_name': 'Jaiswal', 'fullName': 'Jaiswal, Amaresh', 'id': '1729610', 'affiliation': 'Tata Institute of Fundamental research, Mumbai', 'emailHash': '56a6e10f38c52a8ae82efef0e6d9bb75', 'db_id': 1729610, 'person_id': 1867655}"
Observables and concepts,unknown,Bulk properites and hydrodynamics: Observables and concepts,"Huovinen, Pasi",Johann Wolfgang Goethe-Universität,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Pasi', 'last_name': 'Huovinen', 'fullName': 'Huovinen, Pasi', 'id': '1729611', 'affiliation': 'Johann Wolfgang Goethe-Universität', 'emailHash': '74be1bf9ec8f7e850f2e2de384802662', 'db_id': 1729611, 'person_id': 1868037}"
,other,QM check-in and access to GSI for Student Day,Unknown,Unknown,Unknown,,
,other,Departure of buses at darmstadtium for Student Day,Unknown,Unknown,Unknown,,
Opening session,other,Welcome by the conference chairs P. Braun-Munzinger and J. Stachel,Unknown,Unknown,Unknown,,
Plenary,plenary,Baryonic matter and beyond,"Fukushima, Kenji",Keio University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kenji', 'last_name': 'Fukushima', 'fullName': 'Fukushima, Kenji', 'id': '1729627', 'affiliation': 'Keio University', 'emailHash': '76a5499aab9318ac08e7f586dc047ef1', 'db_id': 1729627, 'person_id': 1868472}"
Plenary,plenary,Dynamics of heavy flavor quarks in high energy nuclear collisions,"Beraudo, Andrea",Universidade de Santiago de Compostela (ES),Italy,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrea', 'last_name': 'Beraudo', 'fullName': 'Beraudo, Andrea', 'id': '1729642', 'affiliation': 'Universidade de Santiago de Compostela (ES)', 'emailHash': 'f1d93e73b9c9f38bb74d350c8072aeaf', 'db_id': 1729642, 'person_id': 1867489}"
Plenary,plenary,Recent results on open heavy flavor observables in relativistic nuclear collisions,"Kweon, Min Jung",Inha University (KR),KR,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Min Jung', 'last_name': 'Kweon', 'fullName': 'Kweon, Min Jung', 'id': '1729643', 'affiliation': 'Inha University (KR)', 'emailHash': 'a3a97eb7693c298f978e7643932fb49d', 'db_id': 1729643, 'person_id': 1867513}"
Plenary,plenary,New physics opportunities at high baryon density,"Schmah, Alexander",Lawrence Berkeley National Lab,USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Schmah', 'fullName': 'Schmah, Alexander', 'id': '1729644', 'affiliation': 'Lawrence Berkeley National Lab', 'emailHash': '3fd915fb761c1738e6daa036af0ca05a', 'db_id': 1729644, 'person_id': 1868478}"
Plenary,plenary,Experimental results and phenomenology of quarkonium production in relativistic nuclear collisions,"Andronic, Anton",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Anton', 'last_name': 'Andronic', 'fullName': 'Andronic, Anton', 'id': '1729645', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': 'a03fbab9e863b6dbced1d4ac63acb644', 'db_id': 1729645, 'person_id': 1868479}"
Plenary,plenary,Hadron yields and the phase diagram of strongly interacting matter,"Floris, Michele",CERN,Switzerland,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michele', 'last_name': 'Floris', 'fullName': 'Floris, Michele', 'id': '1729646', 'affiliation': 'CERN', 'emailHash': '7f14819573003fee7a660207016e3e0c', 'db_id': 1729646, 'person_id': 1868480}"
Plenary,plenary,Equation of state and phase diagram of strongly interacting matter,"Pawlowski, Jan M.",University of Heidelberg,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jan M.', 'last_name': 'Pawlowski', 'fullName': 'Pawlowski, Jan M.', 'id': '1729647', 'affiliation': 'University of Heidelberg', 'emailHash': '20bd3aab895fda8586e97d5e03aa0f3f', 'db_id': 1729647, 'person_id': 1867939}"
Plenary,plenary,A unified description of the reaction dynamics from pp to pA to AA collisions,"WERNER, Klaus",subatech,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Klaus', 'last_name': 'WERNER', 'fullName': 'WERNER, Klaus', 'id': '1729648', 'affiliation': 'subatech', 'emailHash': 'e8345e8a97d45b6d372cf621890bb92b', 'db_id': 1729648, 'person_id': 1868299}"
Plenary,plenary,Fluctuations and the QCD phase diagram,"Kitazawa, Masakiyo",Osaka University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Masakiyo', 'last_name': 'Kitazawa', 'fullName': 'Kitazawa, Masakiyo', 'id': '1729649', 'affiliation': 'Osaka University', 'emailHash': 'bfcd60095a48238fcb8fb24764b8c260', 'db_id': 1729649, 'person_id': 1867692}"
Plenary,plenary,Experimental results on jets in ultra-relativistic nuclear collisions,"Lee, Yen-Jie",Massachusetts Inst. of Technology (US),USA,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yen-Jie', 'last_name': 'Lee', 'fullName': 'Lee, Yen-Jie', 'id': '1729650', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': '8037f2f5eb66457d78bbe8b4f5515d4d', 'db_id': 1729650, 'person_id': 1868482}"
Plenary,plenary,Theory of jet quenching in ultra-relativistic nuclear collisions,"Qin, Guang-You",Central China Normal University,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Guang-You', 'last_name': 'Qin', 'fullName': 'Qin, Guang-You', 'id': '1729651', 'affiliation': 'Central China Normal University', 'emailHash': 'b77167f5003dd6c4fa8ec33458288bf1', 'db_id': 1729651, 'person_id': 1867564}"
Closing session,other,The thermodynamics of heavy-light hadrons at freeze-out,"Sharma, Sayantan",Uni Bielefeld,Unknown,,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sayantan', 'last_name': 'Sharma', 'fullName': 'Sharma, Sayantan', 'id': '1729681', 'affiliation': 'Uni Bielefeld', 'emailHash': 'ac4532cef605eb17d03729c4a95357f3', 'db_id': 1729681, 'person_id': 1868150}"
