Session,Type,Title,Speaker,Institute,Country,Raw_Speaker_Data
Student and Teacher Joint Session (Chair R. Venugopalan),other,Quest for the QGP,"Zajc, Bill",Columbia University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bill', 'last_name': 'Zajc', 'fullName': 'Zajc, Bill', 'id': '314940', 'affiliation': 'Columbia University', 'emailHash': 'be85df6efa4162f2563521144bc5a7a9', 'db_id': 314940, 'person_id': 343596}"
Parallel 4A: Global & Collective Dynamics (Chair P. Sorenson),parallel,"Deviation from quark number scaling of the anisotropy parameter v2 of pions, kaons, and protons in Au+Au collisions at 200 GeV","huang, shengli",PHENIX Collaboration,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'shengli', 'last_name': 'huang', 'fullName': 'huang, shengli', 'id': '314339', 'affiliation': 'PHENIX Collaboration', 'emailHash': '232d72ce325894ba2f5f38f8c30e503f', 'db_id': 314339, 'person_id': 343171}"
Student's Day C (Chair R. Venugopalan),unknown,Proton-Nucleus collisions at LHC and  Electron-Nucleus collisions at an EIC,"Armesto Perez, Nestor",Universidade de Santiago de Compostela (ES),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Nestor', 'last_name': 'Armesto Perez', 'fullName': 'Armesto Perez, Nestor', 'id': '314941', 'affiliation': 'Universidade de Santiago de Compostela (ES)', 'emailHash': 'bb0adb9d0bfbc3a709caec2d659b3dc0', 'db_id': 314941, 'person_id': 343566}"
Teacher's Day,other,"Unexpected connections: Hot quark matter, black holes, and superstring theory","Chesler, Paul",MIT,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Chesler', 'fullName': 'Chesler, Paul', 'id': '314942', 'affiliation': 'MIT', 'emailHash': '23ce53de5c8fc37cae51a96616c94563', 'db_id': 314942, 'person_id': 343499}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,Results on identified particle spectra from ALICE,"Ivanov, Marian",GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Marian', 'last_name': 'Ivanov', 'fullName': 'Ivanov, Marian', 'id': '314454', 'affiliation': 'GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)', 'emailHash': '52012a89e299866d9ca1734ed341757d', 'db_id': 314454, 'person_id': 343252}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,PHENIX High pT,"McCumber, Michael",University of Colorado,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Michael', 'last_name': 'McCumber', 'fullName': 'McCumber, Michael', 'id': '314456', 'affiliation': 'University of Colorado', 'emailHash': 'c18108762206aebb96e95603616ba470', 'db_id': 314456, 'person_id': 343253}"
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,Heavy Flavor Results from STAR,"Xie, Wei",Purdue University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wei', 'last_name': 'Xie', 'fullName': 'Xie, Wei', 'id': '314458', 'affiliation': 'Purdue University (US)', 'emailHash': 'c666f103b7bf6deffc318d04e674a3bf', 'db_id': 314458, 'person_id': 343254}"
,unknown,Energy for the 21st Century World Economy: Problems and Opportunities,"Bauer, Wolfgang","Distinguished University Professor, Michigan State University",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Wolfgang', 'last_name': 'Bauer', 'fullName': 'Bauer, Wolfgang', 'id': '314553', 'affiliation': 'Distinguished University Professor, Michigan State University', 'emailHash': '80778f09e5e0bcde4b1f89f2217f6c97', 'db_id': 314553, 'person_id': 343327}"
Student Day B (Chair G. Roland),other,Hard Probes,"Lee, Yen-Jie",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Yen-Jie', 'last_name': 'Lee', 'fullName': 'Lee, Yen-Jie', 'id': '314572', 'affiliation': 'CERN', 'emailHash': '8037f2f5eb66457d78bbe8b4f5515d4d', 'db_id': 314572, 'person_id': 343347}"
Student Day B (Chair G. Roland),other,Hydro & Transport,"Schenke, Bjoern",Brookhaven National Lab,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bjoern', 'last_name': 'Schenke', 'fullName': 'Schenke, Bjoern', 'id': '314573', 'affiliation': 'Brookhaven National Lab', 'emailHash': '4a88eb902ae580760430eaf0464746cf', 'db_id': 314573, 'person_id': 343348}"
Student's Day A (Chair S. Bass),unknown,The QCD Phase Diagram,"Stephanov, Misha",UIC,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Misha', 'last_name': 'Stephanov', 'fullName': 'Stephanov, Misha', 'id': '314574', 'affiliation': 'UIC', 'emailHash': 'aa7724f89718607a916a87da863e5636', 'db_id': 314574, 'person_id': 343349}"
,unknown,"After Dinner Speaker: ""Death from the Skies!""","Plait, Phil",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Phil', 'last_name': 'Plait', 'fullName': 'Plait, Phil', 'id': '314575', 'affiliation': '', 'emailHash': None, 'db_id': 314575, 'person_id': 343350}"
Student's Day A (Chair S. Bass),unknown,Soft Hadronic Probes,"Sorensen, Paul",BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Paul', 'last_name': 'Sorensen', 'fullName': 'Sorensen, Paul', 'id': '314576', 'affiliation': 'BNL', 'emailHash': '9b09759a9c50bc0cc44b08c1b36c96b5', 'db_id': 314576, 'person_id': 343138}"
Student's Day A (Chair S. Bass),unknown,Small-x Physics and Saturation,"Lopez Albacete, Javier",IPhT-CEA,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Javier', 'last_name': 'Lopez Albacete', 'fullName': 'Lopez Albacete, Javier', 'id': '314577', 'affiliation': 'IPhT-CEA', 'emailHash': 'ee631630092647ca93095bb8093a4707', 'db_id': 314577, 'person_id': 343351}"
Plenary VIC: Rapporteur Talks (Chair W. Busza),plenary,Rapporteur Talk: Global Variables and Correlations,"Hippolyte, Boris",Institut Pluridisciplinaire Hubert  Curien (FR),France,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Boris', 'last_name': 'Hippolyte', 'fullName': 'Hippolyte, Boris', 'id': '314578', 'affiliation': 'Institut Pluridisciplinaire Hubert  Curien (FR)', 'emailHash': 'f529c339d1685203a7da3a9050cb7934', 'db_id': 314578, 'person_id': 343352}"
Plenary VIC: Rapporteur Talks (Chair W. Busza),plenary,"Rapporteur Talk: Heavy Flavor, Quarkonia and Electroweak Probes","Gale, Charles",McGill University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Charles', 'last_name': 'Gale', 'fullName': 'Gale, Charles', 'id': '314581', 'affiliation': 'McGill University', 'emailHash': '9d284bd5fe141884c2dfb30cbf498386', 'db_id': 314581, 'person_id': 343240}"
Plenary VIC: Rapporteur Talks (Chair W. Busza),plenary,Rapporteur Talk: High Pt and Jets,"Milov, Alexander",Weizmann Institute of Science (IL),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Alexander', 'last_name': 'Milov', 'fullName': 'Milov, Alexander', 'id': '314582', 'affiliation': 'Weizmann Institute of Science (IL)', 'emailHash': 'dabec4a547e4b7726bba1e938754840e', 'db_id': 314582, 'person_id': 343355}"
Plenary IB: Experimental Highlights (Chair: J. Stachel),plenary,Overview of recent ALICE results,"Safarik, Karel",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Karel', 'last_name': 'Safarik', 'fullName': 'Safarik, Karel', 'id': '314584', 'affiliation': 'CERN', 'emailHash': '7c0584a0416271ce30fe6cab11de9751', 'db_id': 314584, 'person_id': 343357}"
Plenary VIA: Future Developments II (Chair W. Zajc),plenary,Future of LHC Heavy Ion Experiments,"Appelshaeuser, Harald",Johann-Wolfgang-Goethe Univ. (DE),Germany,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Harald', 'last_name': 'Appelshaeuser', 'fullName': 'Appelshaeuser, Harald', 'id': '315210', 'affiliation': 'Johann-Wolfgang-Goethe Univ. (DE)', 'emailHash': '1d25618e6a30442de8aee1759d3bc217', 'db_id': 315210, 'person_id': 343643}"
"Plenary IC: Initial State, Global & Collective Dynamics (Chair: L. McLerran)",plenary,Hydro Overview,"Ollitrault, Jean-Yves",CNRS,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jean-Yves', 'last_name': 'Ollitrault', 'fullName': 'Ollitrault, Jean-Yves', 'id': '314645', 'affiliation': 'CNRS', 'emailHash': '715a3bb69281417ddf07f10a359becca', 'db_id': 314645, 'person_id': 343399}"
"Plenary IA: Opening Session (Chairs: J. Harris, D. Kharzeev, T. Ullrich)",other,Welcome,Unknown,Unknown,Unknown,
"Plenary IA: Opening Session (Chairs: J. Harris, D. Kharzeev, T. Ullrich)",other,Opening Keynote Address,"Gordon, Bart",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Bart', 'last_name': 'Gordon', 'fullName': 'Gordon, Bart', 'id': '314668', 'affiliation': '', 'emailHash': None, 'db_id': 314668, 'person_id': 343415}"
Plenary IB: Experimental Highlights (Chair: J. Stachel),plenary,STAR Highlights,"Dong, Xin",LBNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Xin', 'last_name': 'Dong', 'fullName': 'Dong, Xin', 'id': '314762', 'affiliation': 'LBNL', 'emailHash': '3d0115e88739be7a3cdf2e8bd3baf020', 'db_id': 314762, 'person_id': 343474}"
Plenary IB: Experimental Highlights (Chair: J. Stachel),plenary,PHENIX Highlights,"Sakaguchi, Takao",BNL,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Takao', 'last_name': 'Sakaguchi', 'fullName': 'Sakaguchi, Takao', 'id': '314764', 'affiliation': 'BNL', 'emailHash': 'cb5635acb704fdb3b42566da12f97370', 'db_id': 314764, 'person_id': 343476}"
"Plenary IA: Opening Session (Chairs: J. Harris, D. Kharzeev, T. Ullrich)",other,Broad Overview,"Wiedemann, Urs",CERN,Switzerland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Urs', 'last_name': 'Wiedemann', 'fullName': 'Wiedemann, Urs', 'id': '314765', 'affiliation': 'CERN', 'emailHash': 'b3e9ac8536071cc26fac1dbcff7b76ac', 'db_id': 314765, 'person_id': 343294}"
"Plenary IC: Initial State, Global & Collective Dynamics (Chair: L. McLerran)",plenary,Initial-state fluctuations to Final State Physics,"Dusling, Kevin",Physical Review Letters,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Kevin', 'last_name': 'Dusling', 'fullName': 'Dusling, Kevin', 'id': '314766', 'affiliation': '', 'emailHash': '1ded18c55cd1c3f5105b7f09a1ea56d1', 'db_id': 314766, 'person_id': 343477}"
"Plenary IC: Initial State, Global & Collective Dynamics (Chair: L. McLerran)",plenary,Review of CGC & Developments,"Dumitru, Adrian",Baruch College (City University of New York),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Adrian', 'last_name': 'Dumitru', 'fullName': 'Dumitru, Adrian', 'id': '314767', 'affiliation': 'Baruch College (City University of New York)', 'emailHash': '177df3fcf600fbcbcc04cc3226403d9c', 'db_id': 314767, 'person_id': 343478}"
Plenary IB: Experimental Highlights (Chair: J. Stachel),plenary,Experimental highlights from the CMS Collaboration,"Roland, Gunther",Massachusetts Inst. of Technology (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gunther', 'last_name': 'Roland', 'fullName': 'Roland, Gunther', 'id': '314768', 'affiliation': 'Massachusetts Inst. of Technology (US)', 'emailHash': 'eaec9faae89d27255e5011f34edbcf87', 'db_id': 314768, 'person_id': 343479}"
Plenary IB: Experimental Highlights (Chair: J. Stachel),plenary,ATLAS Highlights,"Wosiek, Barbara Krystyna",Polish Academy of Sciences (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Barbara Krystyna', 'last_name': 'Wosiek', 'fullName': 'Wosiek, Barbara Krystyna', 'id': '314769', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': '264048b3e5df50a4e244646bd3192a78', 'db_id': 314769, 'person_id': 343480}"
"Plenary IC: Initial State, Global & Collective Dynamics (Chair: L. McLerran)",plenary,PHENIX Results on Cold Nuclear Matter,"Wysocki, Matthew",University of Colorado at Boulder,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Matthew', 'last_name': 'Wysocki', 'fullName': 'Wysocki, Matthew', 'id': '314776', 'affiliation': 'University of Colorado at Boulder', 'emailHash': '73e757daa991af288806366fddfedfe6', 'db_id': 314776, 'person_id': 343115}"
Plenary IVA: Real & Virtual Photons (Chair: T. Nayak),plenary,Overview of results on photon and electroweak boson production from the CMS collaboration,"Granier De Cassagnac, Raphael",Ecole Polytechnique (FR),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Raphael', 'last_name': 'Granier De Cassagnac', 'fullName': 'Granier De Cassagnac, Raphael', 'id': '314803', 'affiliation': 'Ecole Polytechnique (FR)', 'emailHash': '5f06e04c78706936f585e6d74b64bb78', 'db_id': 314803, 'person_id': 343504}"
Plenary IVA: Real & Virtual Photons (Chair: T. Nayak),plenary,Di-Lepton Physics Program at STAR,"Geurts, Frank",Rice University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Frank', 'last_name': 'Geurts', 'fullName': 'Geurts, Frank', 'id': '314807', 'affiliation': 'Rice University (US)', 'emailHash': 'cdf37e52a191217e0b33775454ecd751', 'db_id': 314807, 'person_id': 343507}"
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",plenary,Heavy quarkonium in hot medium,"Hatsuda, Tetsuo",RIKEN,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Tetsuo', 'last_name': 'Hatsuda', 'fullName': 'Hatsuda, Tetsuo', 'id': '314815', 'affiliation': 'Unknown', 'emailHash': 'c19b4d38dcdfe30689a15bfc35465984', 'db_id': 314815, 'person_id': 343515}"
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",other,Quarkonia Discussion,Unknown,Unknown,Unknown,
"Plenary IVB: Quarkonia, Real & Virtual Photons (Chair Y. Schutz)",plenary,Search for Chiral Magnetic Effects in High-Energy Nuclear Collisions,"Wang, Gang",UCLA,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Gang', 'last_name': 'Wang', 'fullName': 'Wang, Gang', 'id': '314820', 'affiliation': 'UCLA', 'emailHash': '31ea6a476b94d59636639178b87d486a', 'db_id': 314820, 'person_id': 343518}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,STAR Results from RHIC Beam Energy Scan,"kumar, lokesh",Kent State University,India,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'lokesh', 'last_name': 'kumar', 'fullName': 'kumar, lokesh', 'id': '314821', 'affiliation': 'Kent State University', 'emailHash': '16635f9ee1718fa6c5887b0f70b26318', 'db_id': 314821, 'person_id': 343519}"
Plenary VIA: Future Developments II (Chair W. Zajc),plenary,Future of RHIC,"Nagle, Jamie",University of Colorado,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Jamie', 'last_name': 'Nagle', 'fullName': 'Nagle, Jamie', 'id': '314926', 'affiliation': 'University of Colorado', 'emailHash': '606255e48b53afa76350fa1ab60f8ac2', 'db_id': 314926, 'person_id': 343172}"
Plenary VB: Future Developments I (Chair: C. Greiner),plenary,Recent theory developments describing the strongly coupled plasma,"Yee, Ho-Ung","SUNY, Stony Brook",USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Ho-Ung', 'last_name': 'Yee', 'fullName': 'Yee, Ho-Ung', 'id': '314927', 'affiliation': 'SUNY, Stony Brook', 'emailHash': '0e8328c717378385407c2811a63d4d10', 'db_id': 314927, 'person_id': 343588}"
Plenary VB: Future Developments I (Chair: C. Greiner),plenary,EIC/LHeC,"Deshpande, Abhay",Stony Brook University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Abhay', 'last_name': 'Deshpande', 'fullName': 'Deshpande, Abhay', 'id': '314928', 'affiliation': 'Stony Brook University', 'emailHash': '61eb0cddfe37116777b63f1837dc82e9', 'db_id': 314928, 'person_id': 343589}"
Plenary IVA: Real & Virtual Photons (Chair: T. Nayak),plenary,Photons and electroweak probes in  ATLAS,"Steinberg, Peter Alan",Brookhaven National Laboratory (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Peter Alan', 'last_name': 'Steinberg', 'fullName': 'Steinberg, Peter Alan', 'id': '314918', 'affiliation': 'Brookhaven National Laboratory (US)', 'emailHash': '47b904d74c150449d5653db6cc3fabfe', 'db_id': 314918, 'person_id': 343583}"
Plenary VB: Future Developments I (Chair: C. Greiner),plenary,"QCD at high parton density (eA, pA, ... )","Marquet, Cyrille",Unknown,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Cyrille', 'last_name': 'Marquet', 'fullName': 'Marquet, Cyrille', 'id': '314929', 'affiliation': '', 'emailHash': '5e351fa0d2b6c8495dcfd34d9263c150', 'db_id': 314929, 'person_id': 343590}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,Results on particle correlations from ALICE,"Adare, Andrew Marshall",Yale University (US),USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Andrew Marshall', 'last_name': 'Adare', 'fullName': 'Adare, Andrew Marshall', 'id': '314932', 'affiliation': 'Yale University (US)', 'emailHash': '862d6d5d3ff5f604bdf2f0cbf691f284', 'db_id': 314932, 'person_id': 343262}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,EbyE observables and fluctuations,"Petersen, Hannah",Frankfurt Institute for Advanced Studies,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Hannah', 'last_name': 'Petersen', 'fullName': 'Petersen, Hannah', 'id': '314933', 'affiliation': '', 'emailHash': '06052739f1bd9c0f30a65d0898e17cdc', 'db_id': 314933, 'person_id': 343593}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),other,Discussion on Exploring the QCD Phase Diagram,Unknown,Unknown,Unknown,
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,Fluctuations: from theory to observables,"Skokov, Vladimir",Brookhaven national laboratory,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Vladimir', 'last_name': 'Skokov', 'fullName': 'Skokov, Vladimir', 'id': '314934', 'affiliation': 'Brookhaven national laboratory', 'emailHash': 'fb46cfe68980406143d0d478d02afbf1', 'db_id': 314934, 'person_id': 343154}"
Plenary VA: Exploring the QCD Phase Diagram (Chair: P. Braun-Munzinger),plenary,Phase diagram and fluctuations from Lattice QCD,"Borsanyi, Szabolcs",University of Wuppertal,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Szabolcs', 'last_name': 'Borsanyi', 'fullName': 'Borsanyi, Szabolcs', 'id': '314935', 'affiliation': 'University of Wuppertal', 'emailHash': '46d76914780cb9aa62617a384674ded3', 'db_id': 314935, 'person_id': 343445}"
Plenary IIB: Heavy Flavor (Chair: P. Giubellino),plenary,Heavy quark production and energy loss,"Horowitz, William",University of Cape Town,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'William', 'last_name': 'Horowitz', 'fullName': 'Horowitz, William', 'id': '315152', 'affiliation': 'University of Cape Town', 'emailHash': '0ad2e82160c0a06258dcf5477be4fa94', 'db_id': 315152, 'person_id': 343723}"
"Plenary IC: Initial State, Global & Collective Dynamics (Chair: L. McLerran)",plenary,Azimuthal Anisotropy Results from STAR,"Cebra, Daniel",UC Davis,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Daniel', 'last_name': 'Cebra', 'fullName': 'Cebra, Daniel', 'id': '315111', 'affiliation': 'UC Davis', 'emailHash': '0734fffd23b32dae0043a2f05040cb7e', 'db_id': 315111, 'person_id': 343698}"
"Plenary ID: Initial State, Global & Collective Dynamics (Chair: B. Jacak)",plenary,Results on flow from ALICE,"Voloshin, Sergey",Wayne State University (US),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Sergey', 'last_name': 'Voloshin', 'fullName': 'Voloshin, Sergey', 'id': '315112', 'affiliation': 'Wayne State University (US)', 'emailHash': '36b4bf82b087c3f6d68e448577cca1bd', 'db_id': 315112, 'person_id': 343120}"
"Plenary ID: Initial State, Global & Collective Dynamics (Chair: B. Jacak)",plenary,ATLAS Flow & Correlations,"Trzupek, Adam",Polish Academy of Sciences (PL),Poland,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Adam', 'last_name': 'Trzupek', 'fullName': 'Trzupek, Adam', 'id': '315114', 'affiliation': 'Polish Academy of Sciences (PL)', 'emailHash': 'd623cfbdea887d472bd67ffc8e4b2549', 'db_id': 315114, 'person_id': 343700}"
"Plenary ID: Initial State, Global & Collective Dynamics (Chair: B. Jacak)",plenary,Extraction of transport coefficients,"Song, Huichao",Peking University,Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Huichao', 'last_name': 'Song', 'fullName': 'Song, Huichao', 'id': '315115', 'affiliation': '', 'emailHash': 'bdc2ab7d61befbb676ce425454431ac1', 'db_id': 315115, 'person_id': 343437}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,Theoretical overview of jet quenching,"Teixeira De Almeida Milhano, Guilherme",Instituto Superior Tecnico (PT),Unknown,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Guilherme', 'last_name': 'Teixeira De Almeida Milhano', 'fullName': 'Teixeira De Almeida Milhano, Guilherme', 'id': '315119', 'affiliation': 'Instituto Superior Tecnico (PT)', 'emailHash': '2199559050d3e25c6c1d983e6e15bb13', 'db_id': 315119, 'person_id': 343702}"
Plenary IIA: Jets (Chair M. Gyulassy),plenary,ATLAS Jets,"Spousta, Martin",Columbia University and Charles University,USA,"{'_type': 'ContributionParticipation', '_fossil': 'contributionParticipationMetadata', 'first_name': 'Martin', 'last_name': 'Spousta', 'fullName': 'Spousta, Martin', 'id': '315120', 'affiliation': 'Columbia University and Charles University', 'emailHash': '5a941a99be92c66d16d5afd0a19d03d6', 'db_id': 315120, 'person_id': 343703}"
